ID,Tournament,MatchDate,Week,Day,Date,Division,Home,Away,Field,Time
126,WMCB Championship ,2015-08-15,Week 17,Saturday,15-Aug,WMCB Northern Division,Crescent,Spartans,Oxon Hill,11:00 AM
127,WMCB Championship ,2015-08-16,Week 17,Sunday,16-Aug,WMCB Southern Division,Challengers,Columbia,Mark Twain,11:00 AM
128,WMCB Championship ,2015-08-16,Week 17,Sunday,16-Aug,WMCB Northern Division,Punjab Lions,Gladiators,Laurel I,11:00 AM
129,WMCB Championship ,2015-08-16,Week 17,Sunday,16-Aug,WMCB Northern Division,United,A Money Matter,Oxon Hill,11:00 AM
130,WMCB Championship ,2015-08-16,Week 17,Sunday,16-Aug,WMCB Southern Division,Va Lions,Mavericks,Laurel II,11:00 AM
131,WMCB Championship,2015-08-22,Week 18,Saturday,22-Aug,WMCB Super 8,Columbia,Damascus,Oxon Hill,11:00 AM
132,WMCB Championship,2015-08-22,Week 18,Saturday,22-Aug,WMCB Inter-Division,Southern Cavaliers,Gladiators,Mark Twain,11:00 AM
133,WMCB Championship,2015-08-22,Week 18,Saturday,22-Aug,WMCB Southern Division,Mavericks,Challengers,Laurel I,11:00 AM
134,WMCB Championship,2015-08-22,Week 18,Saturday,22-Aug,WMCB Super 8,United,Punjab Lions,Laurel II,11:00 AM
135,WMCB Championship,2015-08-22,Week 18,Saturday,22-Aug,WMCB Super 8,Crescent,Challengers,Laurel III,11:00 AM
136,WMCB Championship,2015-08-23,Week 18,Sunday,23-Aug,WMCB Inter-Division,A Money Matter,Mavericks,Mark Twain,11:00 AM
137,WMCB Championship,2015-08-23,Week 18,Sunday,23-Aug,WMCB Inter-Division,Spartans,Renegades,Oxon Hill,11:00 AM
138,WMCB Championship,2015-08-23,Week 18,Sunday,23-Aug,WMCB Northern Division,Damascus,Gladiators,Laurel I,11:00 AM
139,WMCB Championship,2015-08-23,Week 18,Sunday,23-Aug,WMCB Super 8,Va Lions,Washington Hurricanes,Laurel III,11:00 AM
140,Americian Cricket Champions League,2015-08-29,Week 19,Saturday,29-Aug,Mid-Atlantic Division,Washington Eagles,Richmond,Washington,12:00 PM
141,WMCB ChampionshipI,2015-08-29,Week 19,Saturday,29-Aug,WMCB Southern Division,Washington Hurricanes,Challengers,Oxon Hill,11:00 AM
142,WMCB ChampionshipI,2015-08-29,Week 19,Saturday,29-Aug,WMCB Southern Division,Va Lions,Southern Cavaliers,Mark Twain,11:00 AM
143,WMCB ChampionshipI,2015-08-30,Week 19,Saturday,30-Aug,WMCB Southern Division,Mavericks,Columbia,Laurel I,11:00 AM
144,WMCB ChampionshipI,2015-08-30,Week 19,Sunday,30-Aug,WMCB Northern Division,Crescent,A Money Matter,Mark Twain,11:00 AM
145,WMCB ChampionshipI,2015-08-30,Week 19,Sunday,30-Aug,WMCB Northern Division,Gladiators,United,Oxon Hill,11:00 AM
146,WMCB ChampionshipI,2015-08-30,Week 19,Sunday,30-Aug,WMCB Northern Division,Punjab Lions,Damascus,Laurel III,11:00 AM
147,WMCB ChampionshipI,2015-08-30,Week 19,Sunday,30-Aug,WMCB Southern Division,Va Lions,Washington Hurricanes,Laurel III,11:00 AM
148,MCC of PGC Championship Weekend,2015-09-05,Week 20 - Labor Day ,Saturday,5-Sep,MCCof PGC T20,Draw ,Draw,TBD,900 AM
149,MCC of PGC Championship Weekend,2015-09-06,Week 20 - Labor Day ,Saturday,6-Sep,MCCof PGC T20,Draw ,Draw,TBD,900 AM
150,WMCB Championship,2015-09-12,Week 21,Saturday,12-Sep,WMCB Super 8,Damascus,Crescent,Oxon Hill,11:00 AM
151,WMCB Championship,2015-09-12,Week 21,Saturday,12-Sep,WMCB Super 8,United,Challengers,Mark Twain,11:00 AM
152,WMCB Championship,2015-09-12,Week 21,Saturday,12-Sep,WMCB Super 8,Columbia,Washington Hurricanes,Laurel I,11:00 AM
153,WMCB Championship,2015-09-12,Week 21,Saturday,12-Sep,WMCB Inter-Division,Gladiators,Mavericks,Laurel III,11:00 AM
154,WMCB Championship,2015-09-13,Week 21,Sunday,13-Sep,WMCB Super 8,Va Lions,Punjab Lions,Laurel I,11:00 AM
155,WMCB Championship,2015-09-13,Week 21,Sunday,13-Sep,WMCB Inter-Division,Southern Cavaliers,Spartans,Oxon Hill,11:00 AM
